latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.city,school.state,school.region_id,school.degrees_awarded.predominant,school.degrees_awarded.highest
38632.0,15722.0,49922.0,,,,,,,,,University of California-Irvine,Irvine,CA,Northwest,Bachelor,Graduate
38614.0,15203.0,49403.0,,,,,,,,,University of California-Los Angeles,Los Angeles,CA,Northwest,Bachelor,Graduate
38942.0,15606.0,49806.0,,,,,,,,,University of California-Riverside,Riverside,CA,Northwest,Bachelor,Graduate
38701.0,16758.0,50958.0,,,,,,,,,University of California-San Diego,La Jolla,CA,Northwest,Bachelor,Graduate
41573.0,16414.0,50614.0,,,,,,,,,University of California-Santa Barbara,Santa Barbara,CA,Northwest,Bachelor,Graduate
41179.0,16005.0,50205.0,,,,,,,,,University of California-Santa Cruz,Santa Cruz,CA,Northwest,Bachelor,Graduate
77560.0,58996.0,58996.0,,,,,,,,,California Institute of the Arts,Valencia,CA,Northwest,Bachelor,Graduate
29853.0,9944.0,22544.0,,,,,,,,,Cal Poly Maritime Academy,Vallejo,CA,Northwest,Bachelor,Graduate
9087.0,1332.0,11384.0,,,,,,,,,Canada College,Redwood City,CA,Northwest,Associate,Associate
11360.0,1166.0,10958.0,,,,,,,,,College of the Canyons,Santa Clarita,CA,Northwest,Associate,Associate
10236.0,1364.0,12004.0,,,,,,,,,Cerritos College,Norwalk,CA,Northwest,Certificate,Associate
25300.0,1384.0,11254.0,,,,,,,,,Cerro Coso Community College,Ridgecrest,CA,Northwest,Associate,Associate
17456.0,1150.0,8686.0,,,,,,,,,Chabot College,Hayward,CA,Northwest,Certificate,Associate
14451.0,1184.0,11120.0,,,,,,,,,Chaffey College,Rancho Cucamonga,CA,Northwest,Associate,Associate
83146.0,64984.0,64984.0,630.0,630.0,720.0,720.0,1357.0,28.0,31.0,29.0,Chapman University,Orange,CA,Northwest,Bachelor,Graduate
39834.0,23000.0,23000.0,,,,,,,,,Charles R Drew University of Medicine and Science,Los Angeles,CA,Northwest,Bachelor,Graduate
