latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
86500.0,67980.0,67980.0,720.0,750.0,770.0,790.0,1527.0,33.0,35.0,34.0,Claremont McKenna College,Bachelor,Graduate
24290.0,1364.0,11612.0,,,,,,,,,Coastline Community College,Associate,Associate
35722.0,22480.0,22480.0,,,,,,,,,University of Silicon Valley,Bachelor,Graduate
19870.0,1282.0,9264.0,,,,,,,,,Columbia College,Associate,Associate
31890.0,25186.0,25186.0,,,,,,,,,California College of ASU,Bachelor,Bachelor
20447.0,1142.0,8822.0,,,,,,,,,Compton College,Associate,Associate
18422.0,1312.0,10320.0,,,,,,,,,Contra Costa College,Associate,Associate
14202.0,1288.0,12616.0,,,,,,,,,Cosumnes River College,Associate,Associate
20282.0,1188.0,14556.0,,,,,,,,,Crafton Hills College,Certificate,Associate
20192.0,1350.0,11010.0,,,,,,,,,Cuesta College,Certificate,Associate
16690.0,1346.0,11314.0,,,,,,,,,Cuyamaca College,Associate,Associate
14290.0,1150.0,12379.0,,,,,,,,,Cypress College,Certificate,Bachelor
14975.0,1571.0,12596.0,,,,,,,,,De Anza College,Associate,Associate
24607.0,1326.0,10174.0,,,,,,,,,College of the Desert,Certificate,Associate
55911.0,29300.0,29300.0,,,,,,,,,Design Institute of San Diego,Bachelor,Graduate
16774.0,1312.0,10320.0,,,,,,,,,Diablo Valley College,Associate,Associate
71751.0,52161.0,52161.0,620.0,590.0,660.0,640.0,1290.0,,,23.0,Dominican University of California,Bachelor,Graduate
19193.0,1238.0,10572.0,,,,,,,,,East Los Angeles College,Associate,Associate
15246.0,1144.0,7630.0,,,,,,,,,El Camino Community College District,Associate,Associate
22105.0,1366.0,8718.0,,,,,,,,,Evergreen Valley College,Associate,Associate
54318.0,35000.0,35000.0,,,,,,,,,FIDM-Fashion Institute of Design & Merchandising,Associate,Graduate
20385.0,1465.0,10435.0,,,,,,,,,Feather River Community College District,Associate,Bachelor
